Polish ,Korean (human translations) - (Lara),Korean alternate (human translations) - Austin,Korean Formal (human translations),Korean Informal (human translations),"Korean Machine Translations (""model name"") - Sabina",Formality,Korean Machine Translations (OpenNMT) - Lara,Formality,Korean Machine Translations (Yandex.Translate) - Austin,Formality,English,Sentence Structure,Topic Type,Source (if applicable),,,,,
Kocham swojego psa.,나는 내 강아지를 사랑해. ,,나는 내 강아지를 사랑한다.,나는 내 강아지를 사랑해.,나는 내 개를 사랑한다.,Formal,나는 내 개를 사랑한다.,Formal,나는 내 개를 사랑한다.,Formal,I love my dog.,Simple,Conversational / Everyday Phrases,,,,,,
Zawsze piję kawę rano.,나는 항상 아침에 커피를 마셔.,,나는 항상 아침에 커피를 마신다.,나는 항상 아침에 커피를 마셔.,나는 항상 아침에 커피를 마신다.,Formal,항상 음료 커피.,Formal,나는 항상 아침에 커피를 마신다.,Formal,I always drink coffee in the morning.,Simple,Conversational / Everyday Phrases,,,,,,
Dzisiaj jest piękna pogoda.,오늘 아름다운 날씨다.,,오늘 아름다운 날씨다.,오늘 아름다운 날씨다.,오늘은 아름다운 날씨입니다.,Formal,오늘 그것은 아름다운 날씨입니다.,Formal,오늘 날씨는 아름답습니다.,Formal,Today is beautiful weather.,Simple,Conversational / Everyday Phrases,,,,,,
Lubię słuchać muzyki w samochodzie.,나는 차 안에서 노래 듣는 것을 좋아해. ,,나는 차 안에서 노래 듣는 것을 좋아한다.,나는 차 안에서 노래 듣는 것을 좋아해.,나는 차에서 음악을 듣는 것을 좋아한다.,Formal,그녀는 혼자 음악을 듣고.,Formal,나는 차 안에서 음악을 듣는 것을 좋아한다.,Formal,I like to listen to music in the car.,Simple,Conversational / Everyday Phrases,,,,,Current:,Goal:
"Kupiłam nowy rower, ale jeszcze nie miałam okazji na nim pojeździć.","나는 새로운 자전거를 샀는데, 아직 탈 기회가 없었어. ",,"저는 새로운 자전거를 샀는데, 아직 탈 기회가 없었습니다.","나는 새로운 자전거를 샀는데, 아직 탈 기회가 없었어.",나는 새로운 자전거를 구입했지만 아직 운전 할 수있는 기회가 없었습니다.,Formal,"그녀는 새로운 자전거를 가지고 있었지만, 그녀는 침대로 갈거야.",Formal,나는 새로운 자전거를 샀지 만 아직 그것을 탈 기회가 없었습니다.,Formal,"I bought a new bike, but I haven't had a chance to ride it yet.",Compound,Conversational / Everyday Phrases,,,Counts:,Simple,50,50
Idę do parku grać w koszykówkę z przyjaciółmi w południe.,나는 정오에 친구들과 농구를 하러 공원을 갈거야. ,,저는 정오에 친구들과 농구를 하러 공원을 갈거야,나는 정오에 친구들과 농구를 하러 공원을 갈거야.,나는 공원에 가서 남쪽에 친구들과 함께 농구를하고있다.,Informal,Ida do park 재생 농구 와 friends 에 the 남쪽.,Informal,나는 정오에 친구들과 농구를 하기 위해 공원에 간다.,Informal,I am going to the park to play basketball with my friends at noon.,Complex,Conversational / Everyday Phrases,,,,Compound,100,100
Obejrzałem horror i nie mogę teraz zasnąć.,나는 공포영화를 봐서 이제 잠이 안와. ,,나는 공포영화를 봐서 이제 잠이 안온다.,나는 공포영화를 봐서 이제 잠이 안와.,나는 공포를 보았고 지금은 잠들지 못했다.,Informal,나는 공포를 두려워하고 나는 밖으로 나가.,Informal,나는 공포 영화를 보았고 지금은 잠을 잘 수 없다.,Informal,I watched a horror and now I cannot fall asleep. ,Compound,Conversational / Everyday Phrases,,,,Complex,100,100
Za miesiąc kończę studia.,나는 한달 후에 졸업해. ,,나는 한달 후에 졸업한다.,나는 한달 후에 졸업해.,한 달 안에 공부를 마쳤다.,Informal,스튜디오의 끝에서.,Informal,나는 한 달 안에 대학을 졸업 할 것이다.,Informal,I'm graduating in a month.,Simple,Conversational / Everyday Phrases,,,,Compound Complex,100,100
Chcę podróżować po świecie.,나는 전 세계를 여행하고 싶어. ,,나는 전 세계를 여행하고 싶다.,나는 전 세계를 여행하고 싶어.,나는 세계를 여행하고 싶다.,Informal,전 세계 여행하고 싶습니다.,Formal,나는 세계를 여행하고 싶다.,Informal,I want to travel around the world.,Simple,Conversational / Everyday Phrases,,,,Interrogative,50,50
"Chcę iść z tobą na narty, ale ostatnio złamałem nogę, jak tylko się wyleczę, to będziemy mogli jechać.","나는 너랑 스키를 타러 가고 싶은데, 최근에 다리가 부러져서, 나아지자마자 같이 갈 수 있어. ",,"저는 당신과 함께 스키를 타러 가고 싶은데, 최근에 다리가 부러져서, 나아지자마자 같이 갈 수 있습니다.","나는 너랑 스키를 타러 가고 싶은데, 최근에 다리가 부러져서, 나아지자마자 같이 갈 수 있어.","나는 당신과 함께 다리로 가고 싶지만, 최근에 다리가 부러졌고, 내가 치유되면 우리는 달릴 수 있습니다.",Formal,"나는 narta에 가고 싶어, 그러나 마지막 나는 내가 갈 수 있던 대로 다리를 끊었다.",Informal,"나는 당신과 함께 스키를 가고 싶어,하지만 난 최근에 내 다리를 부러,빨리 회복으로,우리는 갈 수있을 것입니다.",Formal,"I want to go skiing with you, but I recently broke my leg, as soon as I heal, we will be able to go.",Compound Complex,Conversational / Everyday Phrases,,,,Declarative,50,50
